Day,Time Slots,Start,Stop,tstart1,tstop1,Ttime
2,1,16:00,18:00,16:43,17:13,0:30
2,2,18:00,20:00,18:39,19:11,0:32
2,3,20:00,22:00,20:15,20:45,0:30
2,4,22:00,0:00,22:20,22:48,0:28
3,1,16:00,18:00,16:20,16:49,0:29
3,2,18:00,20:00,18:27,19:00,0:33
3,3,20:00,22:00,20:46,21:15,0:29
3,4,22:00,0:00,22:43,23:11,0:28
4,1,16:00,18:00,17:24,17:54,0:30
4,2,18:00,20:00,19:24,19:59,0:35
4,3,20:00,22:00,20:35,21:08,0:33
4,4,22:00,0:00,22:10,22:37,0:27
5,1,16:00,18:00,16:30,17:01,0:31
5,2,18:00,20:00,20:04,20:40,0:36
5,3,20:00,22:00,20:37,21:08,0:31
5,4,22:00,0:00,23:18,23:48,0:30
6,1,16:00,18:00,16:48,17:18,0:30
6,2,18:00,20:00,19:54,20:28,0:34
6,3,20:00,22:00,21:32,22:03,0:31
6,4,22:00,0:00,22:33,23:01,0:28
7,1,16:00,18:00,16:38,17:01,0:23
7,2,18:00,20:00,19:30,19:55,0:25
7,3,20:00,22:00,21:25,21:48,0:23
7,4,22:00,0:00,23:08,23:30,0:22
1,1,16:00,18:00,17:24,17:54,0:30
1,2,18:00,20:00,18:27,19:00,0:33
1,3,20:00,22:00,20:15,20:45,0:30
1,4,22:00,0:00,22:33,23:01,0:28
2,1,16:00,18:00,16:30,17:01,0:31
2,2,18:00,20:00,19:54,20:28,0:34
2,3,20:00,22:00,20:44,21:16,0:32
2,4,22:00,0:00,22:18,22:49,0:31
3,1,16:00,18:00,16:48,17:18,0:30
3,2,18:00,20:00,18:27,19:00,0:33
3,3,20:00,22:00,20:35,21:08,0:33
3,4,22:00,0:00,22:33,23:01,0:28
4,1,16:00,18:00,16:20,16:49,0:29
4,2,18:00,20:00,18:39,19:11,0:32
4,3,20:00,22:00,20:15,20:45,0:30
4,4,22:00,0:00,22:10,22:37,0:27
5,1,16:00,18:00,17:24,17:54,0:30
5,2,18:00,20:00,19:54,20:28,0:34
5,3,20:00,22:00,20:46,21:15,0:29
5,4,22:00,0:00,23:18,23:48,0:30
6,1,16:00,18:00,16:48,17:18,0:30
6,2,18:00,20:00,20:04,20:40,0:36
6,3,20:00,22:00,20:35,21:08,0:33
6,4,22:00,0:00,22:43,23:11,0:28
7,1,16:00,18:00,16:15,16:40,0:25
7,2,18:00,20:00,19:43,20:11,0:28
7,3,20:00,22:00,21:10,21:37,0:27
7,4,22:00,0:00,22:10,22:36,0:26
1,1,16:00,18:00,17:24,17:54,0:30
1,2,18:00,20:00,19:24,19:59,0:35
1,3,20:00,22:00,20:35,21:08,0:33
1,4,22:00,0:00,22:10,22:37,0:27
